customer_id,first_name,last_name,street,city,state,zip,closest_store_id,distance,latitude,longitude,population
1,Robb,Weaving,5 Ramsey Place,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
2,Robby,Belliard,6 Londonderry Plaza,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
3,Sadella,Caudrelier,548 Mcguire Parkway,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
4,Holmes,Shimmings,99 Kennedy Court,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
5,Beverley,Gubbin,51 Mcbride Drive,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
6,Pavia,Millery,463 Columbus Pass,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
7,Engracia,Jeanon,24 Hanover Court,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
8,Melinda,Stodd,568 Nova Way,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
9,Dinnie,Leek,38 Golf Alley,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
10,Caitrin,Filipowicz,61 Michigan Drive,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
11,Sybille,Vipan,75841 2nd Hill,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
12,Genevieve,Roughey,129 Katie Street,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
13,Artie,Brandes,3744 Troy Circle,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
14,Matilda,Keynes,73 Grayhawk Park,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
15,Carmina,Wandrey,96472 Stephen Alley,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
16,Tailor,Ades,50 Union Center,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
17,Davidson,Stapleton,5 2nd Way,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
18,Julio,Vearncomb,600 Crownhardt Drive,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
19,Alysa,Laight,8 Sunfield Hill,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
20,Ragnar,Keeping,3 Iowa Avenue,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
21,Kara,Faulder,2928 Aberg Drive,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
22,Edie,Wholesworth,9393 Crescent Oaks Parkway,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
23,Laurene,Righy,85651 Daystar Pass,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
24,Elvyn,Rucklesse,38 Becker Center,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
25,Theodore,Knaggs,25 Katie Center,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
26,Putnam,Heaford,471 Knutson Place,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
27,Richart,Scimonelli,8 Mallard Way,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
28,Janith,Balbeck,45917 Red Cloud Way,Oakland,CA,94609,1,1,37.8343,-122.2643,22811
